year,iso,mv,close,weight,weight_float
2007,ISR,235056.38,0.378283978,0.003753939,0.003336325
2008,ISR,107706.44,0.260589839,0.003250813,0.003381891
2009,ISR,188733.9,0.319399381,0.003945534,0.003893125
2010,ISR,227614.01,0.363141686,0.004135155,0.003833107
2011,ISR,156938.65,0.397169955,0.003279095,0.002746169
2012,ISR,161855.48,0.395886545,0.002935765,0.002398077
2013,ISR,203301.35,0.418576182,0.003145936,0.002409776
2014,ISR,200524.99,0.356226242,0.002968904,0.002514933
2015,ISR,243903.68,0.288034287,0.003667129,0.003458001
2016,ISR,213983.6087,0.380823999,0.003098325,0.002529916
2017,ISR,231048.76,0.402913666,0.002739926,0.002169482
2018,ISR,187466.4,0.369843835,0.002555668,0.002113432
2019,ISR,237371.16,0.374838786,0.002723222,0.002284948
2020,ISR,262061.92,0.385321104,0.002571725,0.00213781
2021,ISR,213492,0.396557747,0.002212001,0.001683957
1999,ITA,728240.35,0.492999218,0.021224321,0.014531507
2000,ITA,768363.35,0.347972482,0.024640461,0.020586302
2001,ITA,527467.28,0.411746806,0.019509058,0.014660034
2002,ITA,477075.42,0.418820301,0.020880305,0.015703209
2003,ITA,614841.57,0.386231855,0.019660016,0.015866799
2004,ITA,789562.62,0.339910958,0.021272852,0.018521186
2005,ITA,798072.87,0.315458184,0.018962259,0.017422544
2006,ITA,1026504.21,0.296229466,0.019802851,0.018869875
2007,ITA,1072534.68,0.317278865,0.017128782,0.016717025
2008,ITA,524341,0.302441589,0.015825746,0.015531983
2009,ITA,662794,0.29987078,0.013855889,0.01406413
2010,ITA,577625,0.3256774,0.010493944,0.010299659
2011,ITA,449466,0.401334442,0.009391196,0.007810585
2012,ITA,498933,0.395888404,0.00904974,0.00739225
2013,ITA,628451,0.397531955,0.009724809,0.007718787
2014,ITA,587312.44,0.374468385,0.008695545,0.0071572
2015,ITA,603207,0.374473135,0.009069309,0.007513808
2016,ITA,544618,0.378843991,0.007885666,0.006459578
2017,ITA,744082,0.374970699,0.008823806,0.007313687
2018,ITA,608555,0.361920408,0.008296229,0.006946905
2019,ITA,708357,0.350701869,0.00812657,0.007081948
2020,ITA,684249,0.369191673,0.006714826,0.005728335
2021,ITA,853397,0.354326509,0.008842089,0.007202407
1999,JPN,4658924,0.441395858,0.135782779,0.102427614
2000,JPN,3157221.78,0.402838018,0.101248191,0.077471688
2001,JPN,2264527.9,0.401827078,0.083756486,0.063999942
2002,JPN,2076413,0.37718214,0.090878998,0.073242933
2003,JPN,2953098.3,0.345780953,0.094427512,0.081231196
2004,JPN,3557674.43,0.33870715,0.09585292,0.083606439
2005,JPN,4572901.03,0.314674865,0.108652399,0.09994418
2006,JPN,4614068.83,0.311877004,0.089012511,0.082932996
2007,JPN,4330921.86,0.320936386,0.06916645,0.067142128
2008,JPN,3115803.73,0.323861188,0.094041699,0.089461972
2009,JPN,3306082.05,0.294857215,0.069114547,0.070655632
2010,JPN,3827774.2,0.308603849,0.069540704,0.069981367
2011,JPN,3325387.76,0.302696781,0.069481046,0.067307958
2012,JPN,3478831.52,0.20860468,0.063099698,0.067521814
2013,JPN,4543169.14,0.188112763,0.070302142,0.075196607
2014,JPN,4377994.37,0.211920666,0.064819073,0.067215559
2015,JPN,4894919.12,0.244660541,0.073595851,0.073626714
2016,JPN,4955299.652,0.242798943,0.07174908,0.071646104
2017,JPN,6222825.21,0.241276371,0.073794287,0.07424828
2018,JPN,5296811.1,0.243134268,0.072209677,0.071721603
2019,JPN,6191073.29,0.237444738,0.071026605,0.072693176
2020,JPN,6718219.55,0.244822435,0.065928742,0.067331781
2021,JPN,6321887,0.218802639,0.065501386,0.064553694
1999,KOR,306127.53,0.360484679,0.008921984,0.007705142
2000,KOR,171262.31,0.398230717,0.00549217,0.004234846
2001,KOR,233920.54,0.328918919,0.008651853,0.007416833
2002,KOR,250706.77,0.246341765,0.010972759,0.010701174
2003,KOR,329457.32,0.287303433,0.010534643,0.009872465
2004,KOR,428325.58,0.340843285,0.011540195,0.010033267
2005,KOR,718010.71,0.329341431,0.017059977,0.015356825
2006,KOR,834404.28,0.240178847,0.016096947,0.016560182
2007,KOR,1122606.33,0.238590339,0.017928445,0.019514174
2008,KOR,470797.68,0.237425851,0.014209693,0.015245754
2009,KOR,834596.86,0.300437409,0.017447475,0.017695361
2010,KOR,1091911.46,0.358717115,0.019837192,0.01851596
2011,KOR,996139.92,0.310460217,0.020813466,0.019938025
2012,KOR,1179419.47,0.31299696,0.021392531,0.019872119
2013,KOR,1234548.55,0.306914124,0.019103715,0.01744371
2014,KOR,1212759.46,0.327045007,0.017955698,0.01589957
2015,KOR,1231199.76,0.369256771,0.018511275,0.015464249
2016,KOR,1254541.185,0.359763359,0.01816483,0.015336876
2017,KOR,1771767.93,0.330204091,0.02101077,0.018662272
2018,KOR,1413716.51,0.335460139,0.01927273,0.01680738
2019,KOR,1484840.32,0.322111338,0.017034715,0.015498672
2020,KOR,2176189.5,0.332683797,0.021355872,0.019272817
2021,KOR,1471939,0.352457794,0.015250833,0.012458665
2003,KWT,60951.56,0.342,0.001948971,0.001686291
2004,KWT,72903.66,0.318970869,0.001964213,0.001764391
2005,KWT,103720.26,0.3607,0.0024644,0.002114644
2006,KWT,107063.21,0.3677,0.002065415,0.001768238
2007,KWT,143075,0.157920353,0.002284962,0.002750561
2008,KWT,83274,0.447754046,0.00251339,0.001952875
2009,KWT,76465,0.7052,0.001598522,6.83E-04
2010,KWT,105133,0.287252182,0.001909993,0.001981455
2011,KWT,87983,0.381230097,0.001838327,0.001580267
2012,KWT,87391,0.422849413,0.001585114,0.00123701
2013,KWT,90617,0.414964088,0.00140223,0.001080776
2014,KWT,83726,0.397109247,0.001239618,9.83E-04
2015,KWT,96113.49,0.419681256,0.001445081,0.001110705
2016,KWT,71626,0.419735668,0.001037092,7.94E-04
2017,KWT,76641,0.39636367,9.09E-04,7.28E-04
2018,KWT,81093,0.386900829,0.001105514,8.89E-04
2019,KWT,118141.91,0.432779077,0.001355374,0.001031841
2020,KWT,105986.84,0.429431613,0.001040094,8.03E-04
2021,KWT,116003,0.428144185,0.001201913,8.67E-04
2000,LUX,34016.52,0.731506841,0.001090868,3.75E-04
2001,LUX,22710.36,0.442741398,8.40E-04,5.98E-04
2002,LUX,24551.04,0.596718509,0.001074533,5.61E-04
2003,LUX,37333.21,0.588401954,0.001193757,6.46E-04
2004,LUX,50143.55,0.585839112,0.001350996,7.38E-04
2005,LUX,51248.41,0.580921644,0.001217665,6.85E-04
